LGA code,LGA name (a),2022 (no.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34580,Lockyer Valley,42628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34590,Logan,363059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34710,Longreach,3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34770,Mackay,124950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34800,McKinlay,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34830,Mapoon,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34860,Maranoa,13099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34880,Mareeba,23367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35010,Moreton Bay,496772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35250,Mornington,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35300,Mount Isa,19046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35600,Murweh,3960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35670,Napranum,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35740,Noosa,57336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35760,North Burnett,10216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35780,Northern Peninsula Area,2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35790,Palm Island,2193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35800,Paroo,1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36070,Pormpuraaw,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36150,Quilpie,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36250,Redland,163729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36300,Richmond,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36370,Rockhampton,83596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36510,Scenic Rim,44331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36580,Somerset,25711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36630,South Burnett,33783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36660,Southern Downs,36991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36720,Sunshine Coast,355904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36820,Tablelands,26806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36910,Toowoomba,178387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36950,Torres,3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36960,Torres Strait Island,4285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37010,Townsville,198134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37300,Weipa,4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37310,Western Downs,34537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37340,Whitsunday,38509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37400,Winton,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37550,Woorabinda,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37570,Wujal Wujal,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37600,Yarrabah,2619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40070,Adelaide,26183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120,Adelaide Hills,41408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40150,Adelaide Plains,10454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40220,Alexandrina,29746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40250,Anangu Pitjantjatjara Yankunytjatjara,2598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40310,Barossa,25866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40430,Barunga West,2672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40520,Berri Barmera,10710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40700,Burnside,46710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40910,Campbelltown (SA),56028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41010,Ceduna,3650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41060,Charles Sturt,124865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41140,Clare and Gilbert Valleys,9381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41190,Cleve,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41330,Coober Pedy,1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
