OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Persons who reported having private health insurance (no.) (Data year: 2022),Persons with disability (no.) (Data year: 2018),Persons with disability (%) (Data year: 2018),Persons with profound/severe core activity limitation (no.) (Data year: 2018),Persons with profound/severe core activity limitation (%) (Data year: 2018),Persons with moderate/mild core activity limitation (no.) (Data year: 2018),Persons with moderate/mild core activity limitation (%) (Data year: 2018),Persons who are carers (no.) (Data year: 2018),Persons who are carers (%) (Data year: 2018),Persons aged 15 years and over who are primary carers (no.) (Data year: 2018),Persons aged 15 years and over who are primary carers (%) (Data year: 2018),Persons who are non-primary carers (no.) (Data year: 2018),Persons who are non-primary carers (%) (Data year: 2018),"Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (no.) (Data year: 2018)","Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (%) (Data year: 2018)",Persons with disability who need assistance or have difficulty with personal/health care (no.) (Data year: 2018),Persons with disability who need assistance or have difficulty with personal/health care (%) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (no.) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (%) (Data year: 2018),Persons who have need for assistance with core activities (no.) (Data year: 2021),Persons who have need for assistance with core activities (%) (Data year: 2021),Persons with long-term health condition(s): Arthritis (%) (Data year: 2021),Persons with long-term health condition(s): Asthma (%) (Data year: 2021),Persons with long-term health condition(s): Cancer (including remission) (%) (Data year: 2021),Persons with long-term health condition(s): Dementia (including Alzheimer's) (%) (Data year: 2021),Persons with long-term health condition(s): Diabetes (excluding gestational diabetes) (%) (Data year: 2021),Persons with long-term health condition(s): Heart disease (including heart attack or angina) (%) (Data year: 2021),Persons with long-term health condition(s): Kidney disease (%) (Data year: 2021),Persons with long-term health condition(s): Lung condition (including COPD or emphysema) (%) (Data year: 2021),Persons with long-term health condition(s): Mental health condition (including depression or anxiety) (%) (Data year: 2021),Persons with long-term health condition(s): Stroke (%) (Data year: 2021),Persons with other long-term health condition(s) (%) (Data year: 2021),Persons with no long-term health condition(s) (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
165,23350,Indigo,2040.471,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23350,5350,3262,20.2,836,5.2,1929,11.9,2050,12.7,679,5.2,1430,8.9,1150,8.7,1673,10.4,741,5.7,328,2.6,123,1,1000,5.8,10.9,9.8,3.7,0.8,4.5,5.1,1,2.3,9.2,1.1,8.2,54.8,ec8fbd3f-2357-4e45-a213-ce95930d5b93,0.204532455427398,4.2975134380224
166,23430,Kingston (Vic.),91.3676,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23430,62153,24668,15.2,8130,5,12387,7.6,16828,10.4,5545,4.2,12103,7.5,11121,8.4,14215,8.8,6619,5,2699,2,1205,0.9,9311,5.9,7.8,8.1,3.1,0.8,4.6,4,0.9,1.4,8.1,1,8.2,62.4,837ff08a-d278-4bda-bda9-ae404c620ab9,0.00937048264950135,0.537643660668831
167,23670,Knox,113.9114,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23670,58834,27893,17.2,8127,5,12590,7.8,19195,11.8,5871,4.4,13402,8.3,10369,7.8,15903,9.8,5800,4.4,3304,2.4,1366,1,9170,5.8,8.3,8.9,2.9,0.8,5.4,4,0.9,1.5,8.7,1,8.7,61,1e5b9a66-56c5-460c-a23d-d8e6bcb6ad50,0.0116670127754332,0.757042992674453
168,23810,Latrobe (Vic.),1425.613,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23810,15999,19150,25.7,4766,6.4,9993,13.4,10339,13.9,3537,5.8,6921,9.3,7873,13,10538,14.2,4616,7.7,2297,3.8,736,1.2,6479,8.4,12.2,10.9,3.4,0.7,6.5,5.5,1.4,3.1,12.2,1.3,9.5,50,ba102f18-0d89-4521-99bb-aee752124f0f,0.146772644155135,3.02988271698196
169,23940,Loddon,6696.4447,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23940,1905,1646,22.1,544,7.3,1153,15.5,916,12.3,415,6.6,730,9.8,1030,16.5,1065,14.3,471,7.6,223,4.1,69,1.3,584,7.5,14.6,9.7,4.1,0.7,6.3,6.4,1.1,3.7,10.7,1.3,8.5,47.7,0118368c-18e0-4b4a-8852-1cf21d0e6e1b,0.67241351980465,4.80748126349978
170,24130,Macedon Ranges,1748.284,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24130,18844,7864,16,2399,4.9,4335,8.8,4993,10.2,1823,4.7,3368,6.9,3326,8.6,4420,9,1989,5.2,1090,2.7,429,1,2614,5.1,8.9,8.9,3.4,0.8,4,4,0.9,1.9,9.1,0.9,8.4,58.5,8d1d0b45-1609-4e67-ba96-e514824a13a3,0.177756682806375,2.72075921458904
171,24210,Manningham,113.3479,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24210,56390,18879,15.2,6190,5,9982,8,14900,12,4286,4.1,11353,9.1,8764,8.5,10214,8.2,4966,4.9,1721,1.7,665,0.7,7804,6.3,7.9,6.2,3.2,1.1,4.6,4.1,0.9,1.1,5.8,1,8.2,65.4,4a0b7c3f-c191-4e6c-b623-6a9536d2ca8d,0.0115896052020616,0.898695080998139
172,24250,Mansfield,3843.8535,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24250,2832,1556,17.8,487,5.6,1120,12.8,1086,12.4,366,5.1,729,8.3,667,9.2,965,11,337,4.7,185,2.8,69,1,537,5.3,10.4,8.1,4.1,0.6,4.5,5.2,1.1,2.2,8.2,1.3,8.3,55.9,786aeefd-66c1-40d0-98b9-01179cf41293,0.390139636502226,4.42842794951301
173,24330,Maribyrnong,31.2258,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24330,28360,12526,13.8,3908,4.3,5637,6.2,7656,8.4,2802,3.7,5486,6,4074,5.3,6297,6.9,3229,4.3,1453,1.8,724,0.9,4523,5.3,5.2,8.5,1.8,0.6,4,2.3,0.7,0.9,9.9,0.7,8.1,63.2,3e339917-2170-4418-8652-a60b8db199e0,0.00319429852697795,0.291031762656633
174,24410,Maroondah,61.4097,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24410,43352,16516,14.2,5139,4.4,8724,7.5,11266,9.7,4152,4.4,7040,6.1,6237,6.6,9329,8,4138,4.5,2124,2.1,844,0.9,6847,6,8.6,9.1,3.1,0.8,4.4,3.8,0.8,1.5,9.8,1,9.3,60.2,ecc03243-bed5-4e8d-b267-27dd8d6639b0,0.00628276765564806,0.390701324692193
175,24600,Melbourne,37.5452,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24600,52353,13145,7.8,3760,2.2,6073,3.6,9384,5.6,2874,1.8,6479,3.9,6193,3.9,6090,3.6,3685,2.3,1570,1,1118,0.7,3468,2.3,3,6.3,1.5,0.3,1.9,1.6,0.4,0.5,8.1,0.4,6,69.4,f36601aa-3d5e-4336-b82f-d4d192291658,0.00384126300650678,0.414391843506533
176,24650,Melton,527.5374,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24650,38940,24946,16.1,7671,5,10907,7,17424,11.3,5350,4.6,11062,7.1,9179,7.9,13715,8.9,5231,4.6,3649,2.6,1560,1.1,9496,5.3,5.7,8.3,1.7,0.3,4.9,2.5,0.8,1.2,7.2,0.7,6.9,64.5,33a63f8a-b357-4db7-800d-182c3baf8372,0.0538904203963284,1.08654615729258
177,24780,Mildura,22081.9206,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24780,16370,10820,19.6,3689,6.7,5901,10.7,7386,13.4,2469,5.6,4818,8.7,4004,9,6050,11,2577,5.9,1436,3.2,508,1.1,4277,7.5,9.7,10,3.1,0.7,5.5,4.8,1.2,2.2,9.9,1.1,7.7,54.7,de2d2792-1d6d-4823-8e8a-21064c3da5b8,2.17698673937866,9.06001826912118
178,24850,Mitchell,2862.0837,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24850,11468,8328,18.9,2291,5.2,4147,9.4,5187,11.8,1709,4.9,3690,8.4,3317,9.5,4330,9.8,2002,5.8,1115,2.9,430,1.1,2970,6,9.1,9.7,2.8,0.5,5.2,4,1,2,10,0.9,8.2,57.4,94e39729-b5f1-40d1-aa69-96f57d48356c,0.29025218279503,4.2668587594144
179,24900,Moira,4045.9201,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24900,6662,7513,25.5,1879,6.4,4241,14.4,4536,15.4,1404,5.8,2818,9.5,2909,12,3809,12.9,1737,7.3,713,3.2,265,1.2,2390,7.8,13.8,9.9,4.2,1.1,6.3,6,1.4,3.4,10.9,1.5,8.1,50.8,ca08c645-f0c1-4263-8eb7-04ef6b047c47,0.404724111704581,5.85381215187104
180,24970,Monash,81.4829,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24970,74511,26506,13.4,8743,4.4,13648,6.9,17983,9.1,6224,3.7,12923,6.5,11099,6.7,14468,7.3,6888,4.2,2428,1.5,1219,0.7,10973,5.8,6.5,6.4,2.5,1,4.8,3.7,0.8,1,6.2,0.9,7.5,66.7,f4d4b08e-19a2-453c-835d-ddf5a0645905,0.00834638703418022,0.521077230066864
181,25060,Moonee Valley,43.1384,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25060,50719,18504,14.5,6437,5.1,8989,7.1,14776,11.6,4252,4,10539,8.3,8346,7.9,10866,8.5,5213,5,2126,2,1032,1,7375,6.1,7.6,7.9,2.8,0.9,4.3,3.7,0.9,1.2,8.4,0.9,8.1,62.5,133df778-14f3-4083-b225-486a06d9b672,0.0044102996471338,0.395385915682263
182,25150,Moorabool,2110.5504,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25150,10271,7650,22.4,1683,4.9,3817,11.2,4999,14.6,1374,5.1,3412,10,2727,10.1,4291,12.6,1795,6.7,921,3.2,289,1,2353,6.3,9.8,9.8,3.1,0.7,4.9,4.1,0.8,2.4,10.2,1.1,9,56.9,9a6506e8-f622-45ef-b2e9-c506cecf96e6,0.21543112662448,2.88892001352907
183,25250,Moreland,50.9522,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25250,56476,28772,15.9,8868,4.9,12331,6.8,19817,11,5738,3.8,14586,8.1,11752,7.8,14672,8.1,8248,5.5,2888,1.8,1342,0.8,11067,6.5,6.8,8.6,2.3,0.8,4.3,3.1,0.8,1,11,0.8,8.4,61.3,95a71789-8589-4dc9-a7c9-99ceed761deb,0.0052074463255849,0.429650264679588
184,25340,Mornington Peninsula,723.992,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25340,60212,35197,21.4,9316,5.7,18813,11.4,21186,12.9,6853,5.1,13131,8,12078,8.9,17664,10.7,7804,5.8,3062,2.4,1047,0.8,10533,6.2,11.7,8.9,4.7,1.1,4.6,5.6,1.1,2.2,9.8,1.3,8.4,54.8,94e4342e-ee25-4b9e-a637-a40a7bf3b210,0.074605898153095,2.19914589106091
185,25430,Mount Alexander,1529.6183,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25430,4684,5429,29.3,1271,6.8,2643,14.2,3529,19,961,6.2,2308,12.4,2375,15.3,2874,15.5,1202,7.8,441,3.2,157,1.1,1083,5.3,12.5,8.5,4.6,0.6,4.2,5.3,1.1,2.3,11.2,1.2,9.7,49.7,97798554-9063-461d-a6f0-0f5081f57ad1,0.154948158186926,2.67114101140879
186,25490,Moyne,5481.686,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25490,4641,3251,19.4,908,5.4,1781,10.6,2226,13.3,701,5.3,1232,7.3,1043,7.9,1673,10,769,5.9,447,3.3,149,1.1,870,5,9.1,9.1,3.2,0.4,4.1,4.4,0.9,2,8.2,1.1,6.9,58.8,63e10bc7-ad9c-480c-bd83-24e2ac4eb464,0.563204974183463,5.29869649603335
187,25620,Murrindindi,3879.7505,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25620,3991,3758,26.1,850,5.9,1902,13.2,2143,14.9,675,5.6,1368,9.5,1473,12.2,1920,13.3,764,6.4,371,3.4,96,0.9,915,6,13.1,9.6,4.2,0.6,5.5,5.3,1.3,2.7,10.1,1.4,8.6,51.6,c4b2e048-4a9c-49ff-945b-cb09d7571120,0.394344097938756,4.34035628025216
188,25710,Nillumbik,432.3373,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25710,29099,8050,12.4,2245,3.5,4827,7.5,6362,9.8,2142,4.1,5130,7.9,2999,5.8,4810,7.4,1613,3.2,1279,2.3,520,0.9,2523,4,8.1,8.3,3.1,0.6,3.2,3.4,0.8,1.1,8.3,0.8,8,62.2,846ad573-50b5-40f0-935c-f8bd204e8db1,0.0441242932893147,1.53492762305921
189,25810,Northern Grampians,5729.8765,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25810,2414,2567,22.8,775,6.9,1566,13.9,1367,12.1,578,6.1,1084,9.6,1062,11.2,1411,12.5,601,6.4,320,3.7,93,1.1,872,7.3,14.1,9.6,4.3,0.5,6.4,5.5,1,3,10.8,1.3,8.8,49.7,9cd3b0e2-d112-4cbe-aebc-7f68def47a64,0.578889678401993,5.87624088216525
190,25900,Port Phillip,20.6141,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25900,46506,14728,13.1,3662,3.3,5981,5.3,10030,8.9,2759,2.8,7043,6.3,6050,6.1,7325,6.5,4052,4.1,1615,1.6,724,0.7,3721,3.7,5.4,7.7,2.6,0.4,2.5,2.7,0.6,1,9.8,0.6,7.5,63,ce7f724a-3b37-4eae-99c7-f531dc61d4bc,0.00211036734754089,0.317319088095949
191,25990,Pyrenees,3434.5687,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25990,1748,1961,28.6,462,6.7,1084,15.8,1366,19.9,367,6.4,1046,15.3,872,15.3,1002,14.6,427,7.6,207,4,64,1.3,593,7.7,13.5,9.9,4.3,0.5,6.1,5.9,0.9,3.5,11.7,1.6,8.6,46.8,05b8df6e-d3eb-470c-a89c-b83850c7b346,0.349124694905186,3.99740255047356
192,26080,Queenscliffe,8.6166,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26080,1624,825,26.9,213,6.9,481,15.7,439,14.3,139,5.1,296,9.7,392,14.4,481,15.7,240,8.9,51,2.8,12,0.7,178,5.4,13.2,7.6,5.8,0.7,4.3,7.6,0.7,2,7.5,1.5,8.3,52.2,757b5a87-3b29-4ad8-b44b-2cdf08e3e5e0,0.000887012524799502,0.381777483394804
193,26170,South Gippsland,3296.3307,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26170,7498,7173,24.4,1669,5.7,4038,13.7,3659,12.4,1301,5.4,2409,8.2,2887,12,3570,12.1,1595,6.8,649,2.9,199,0.9,1962,6.4,12.2,9,4,0.7,5.5,5.8,1.1,2.5,9.7,1.4,8.5,53.7,33592ad1-0ede-4143-99d9-257088246bb0,0.340980227213549,6.07073731523033
194,26260,Southern Grampians,6654.0186,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26260,3978,3755,23.8,938,5.9,2032,12.9,1910,12.1,693,5.4,1082,6.9,1347,10.4,1513,9.6,866,6.8,379,3.1,102,0.8,1137,6.9,12.5,9.1,3.8,0.8,5.7,4.9,1.1,2.3,9.8,1.2,8.2,54.4,e4b64f18-a171-4e77-8f95-4af3e3300af1,0.678338643441748,5.28969080344449
195,26350,Stonnington,25.651,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26350,54422,13807,11.9,3993,3.4,5678,4.9,11053,9.5,2774,2.7,7404,6.4,6122,6,7268,6.3,3981,4,1322,1.3,644,0.7,4014,3.8,5.8,7.6,2.9,0.6,2.7,3.1,0.6,0.9,8.5,0.7,7.2,64.3,291e8b96-bfe1-40d4-b797-f3fbd287ce72,0.00262620672174307,0.307390960231131
196,26430,Strathbogie,3303.2568,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26430,3076,2945,28.1,641,6.1,1492,14.2,1427,13.6,508,5.7,942,9,1247,14,1485,14.1,666,7.6,253,3.3,56,0.7,811,7.1,13.8,8.7,4.9,1.1,5.5,6.6,1.4,2.8,9.7,1.5,8.2,50.7,05288791-7391-4e8e-a340-e3e0f00b2025,0.333366100615422,3.95388869490608
197,26490,Surf Coast,1552.944,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26490,15830,4679,14.6,1440,4.5,2866,8.9,3232,10.1,1202,4.7,2114,6.6,2110,8.3,2756,8.6,1211,4.8,669,2.5,234,0.9,1409,3.7,7.8,8.1,3.4,0.8,2.9,3.7,0.7,1.2,7.5,0.9,7.2,61.7,779e4683-5776-4afc-a64b-66101a6df4c4,0.159963518795848,2.31778900284448
198,26610,Swan Hill,6115.5373,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26610,5151,3676,17.8,1194,5.8,2225,10.8,2611,12.7,846,5.1,1646,8,1266,7.7,2059,10,866,5.3,487,2.9,179,1.1,1265,5.9,9.8,9.7,2.8,0.7,5,4.4,1.1,2,7.5,1,6.2,57,c3a105fa-1093-49ae-ac32-6a17199aae6b,0.604730735448811,6.64671446875144
199,26670,Towong,6675.1725,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26670,1917,1260,21,337,5.6,819,13.7,863,14.4,268,5.4,585,9.8,456,9.2,721,12,276,5.6,144,3.2,33,0.7,394,6.3,13.2,8.9,4.2,0.9,5.4,5.5,1.1,2.6,10.1,1.3,8.1,51.6,b905a3b8-275f-42dc-be27-63a78c8b0ba6,0.670190785430805,5.51298656503403
200,26700,Wangaratta,3645.1096,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26700,7113,7234,25.2,2287,8,3456,12,4259,14.8,1376,5.9,2411,8.4,3087,13.2,4639,16.2,1514,6.6,824,3.6,267,1.2,2215,7.4,12.1,11.1,3.8,0.8,5.1,5.4,1.1,2.5,10.7,1.4,8.7,52.5,7e920df4-544c-46e0-a2aa-918f5160d5f9,0.367056625306759,4.08117026589203
201,26730,Warrnambool,120.9487,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26730,8510,6971,20.2,1807,5.2,3897,11.3,3003,8.7,1421,5,1654,4.8,2451,8.7,3094,9,1668,6,770,2.7,267,0.9,2333,6.6,9.7,9.9,3.5,0.7,5,4.9,1,2,10.4,1.2,8.1,55.2,1a8cc6e4-fdbb-429c-bf2e-29972b552404,0.0124685267091991,0.715800781851634
202,26810,Wellington,10817.4231,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26810,9545,7893,18.4,2302,5.4,5054,11.8,4609,10.7,1839,5.3,3005,7,3233,9.2,3864,9,2061,6,1055,3.1,371,1.1,3236,7.1,11.6,9.6,3.5,0.7,5.6,5.4,1.2,3,10.4,1.4,8.4,52,6fbfa4e3-5b85-4c3a-9d4b-69a7363f5536,1.10804741637003,12.105945928738
203,26890,West Wimmera,9108.6794,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26890,1165,728,19.2,216,5.7,492,13,546,14.4,163,5.2,381,10,245,7.8,474,12.5,172,5.6,97,3.4,21,0.7,267,6.7,13.4,8.4,3.3,0.7,5.8,5.4,0.8,2.5,9.1,1.2,7,54,a9e7f53a-5bde-4725-89f3-133af223d7d8,0.918306251274771,6.07784898925713
204,26980,Whitehorse,64.2801,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26980,70878,26163,15,7725,4.4,13328,7.6,18612,10.7,5688,3.9,13967,8,10695,7.4,14216,8.1,6150,4.3,2544,1.7,1106,0.8,9374,5.5,7,7.3,2.8,0.7,4.2,3.6,0.8,1.1,7.4,0.9,8.4,64.7,afbb8f3e-8cf1-4108-ba01-1a5dbfe8a3cb,0.00657837418748386,0.401704342485071
205,27070,Whittlesea,489.6938,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27070,55302,35249,15.8,12823,5.8,15953,7.2,22574,10.1,8127,4.7,14342,6.4,15180,8.7,19222,8.6,8768,5.1,5173,2.6,1974,1,14419,6.3,6.9,7.3,2,0.5,5.3,3.1,0.9,1,7.3,0.8,7.4,65.2,285dab0b-405d-4508-87e2-f5ce9441a9c7,0.0499281295733454,1.41731038043141
206,27170,Wodonga,433.0021,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27170,11538,7619,18.5,1810,4.4,4472,10.8,3711,9,1468,4.5,2678,6.5,3055,9.4,4321,10.5,2065,6.4,846,2.4,346,1,3131,7.2,10.3,10.9,3.4,0.7,5.2,4.7,1.2,2.3,12.8,1.1,9.9,54.1,99350288-171d-45d7-8e77-123279c90e1d,0.0433622339783142,1.54857466925235
207,27260,Wyndham,542.0943,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27260,68151,31023,12.2,10384,4.1,14932,5.9,19046,7.5,7446,3.9,13738,5.4,13418,7.1,16944,6.7,6557,3.5,5108,2.2,2206,0.9,12089,4.1,4.6,6.5,1.3,0.3,4.4,2.1,0.6,0.8,5.7,0.5,6,69.8,c704aedb-35a8-434c-9087-1f2680647bb1,0.0555203369440278,1.29398597775717
208,27350,Yarra,19.5421,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27350,39655,10773,11,3073,3.1,5291,5.4,8361,8.5,2339,2.7,5968,6.1,5394,6.2,6252,6.4,3406,3.9,1524,1.7,636,0.7,3544,3.9,5.3,9.3,2.3,0.5,2.7,2.3,0.6,0.8,11.8,0.6,8.2,61,754fd988-1142-4348-8810-79d81da36f26,0.00199917015697793,0.41987488770743
209,27450,Yarra Ranges,2468.2052,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27450,49079,30764,19.5,7852,5,14258,9.1,21722,13.8,6144,4.8,14276,9.1,10043,7.9,15283,9.7,6173,4.9,3613,2.7,1469,1.1,8430,5.4,9.4,9.6,3.2,0.6,4.3,3.9,0.8,1.7,10.3,0.9,8.9,57.9,b6d6885f-d362-453c-945f-7b75e9ff05f0,0.25221347892284,3.66857687573447
210,27630,Yarriambiack,7325.797,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27630,1784,1787,27.5,452,7,972,15,1071,16.5,354,6.6,866,13.3,595,11.1,1138,17.5,351,6.6,203,4.2,40,0.8,611,9.3,15.8,11.9,3.9,0.9,7.1,6.3,1.1,3.2,11.8,1.6,9.3,46.7,f0d82527-ba27-414c-ac81-529656f62e04,0.732179304575311,5.44392049909656
211,29399,Unincorporated Vic,283.1903,https://linked.data.gov.au/dataset/asgsed3/LGA2021/29399,152,113,12.8,41,4.6,76,8.6,85,9.6,30,4,50,5.7,48,6.4,91,10.3,28,3.8,20,2.6,8,1,12,1.3,4.5,5.1,1.9,,0.4,0.9,0.4,,4.4,,4.9,54.3,195830dd-783c-499a-a39f-37b6deddcddd,0.0290105240596858,3.01730531125993
212,29499,No usual address (Vic.),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/29499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ef31275-5841-4153-bae5-0276232c7c1f,,
213,29799,Migratory - Offshore - Shipping (Vic.),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/29799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a0836709-f517-4dbf-bf4d-1a8bf9e5559d,,
214,30250,Aurukun,7423.9891,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30250,40,,,,,,,,,,,,,,,,,,,,,,,53,4.8,0.4,1.4,,0.3,3,,,0.4,1.5,0.3,9.3,68.6,abee2260-204e-46b9-a3ff-b63a8888dc50,0.62010695199956,5.30375431417581
215,30300,Balonne,31104.0851,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30300,1290,,,,,,,,,,,,,,,,,,,,,,,188,4.4,9.5,9.6,3.1,0.4,5.9,4.1,0.9,2.3,6.2,0.8,4.7,57.9,e18c37a5-e05e-41cf-b19b-a30a5258c8d5,2.86180394926782,8.83468663054866
216,30370,Banana,28550.1626,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30370,5025,2217,15.8,694,4.9,1380,9.8,1463,10.4,463,4.2,853,6.1,733,6.7,1130,8,498,4.6,291,2.4,125,1,599,4.1,7.7,8.2,2.3,0.5,4.4,3.6,0.5,1.8,6.6,0.8,5.6,57.6,5da332e7-8ae3-4c2c-8f56-f024ab1e9df1,2.55191664947938,12.1009352257469
217,30410,Barcaldine,53382.654,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30410,942,,,,,,,,,,,,,,,,,,,,,,,124,4.4,7.7,8.2,2.8,0.5,5.3,4.7,0.7,2.6,5.5,1.1,5.8,57.8,0419e584-08ad-4b5e-89ae-e0a53bc94f9c,4.70594208307807,14.9491410470558
218,30450,Barcoo,61830.1679,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30450,107,,,,,,,,,,,,,,,,,,,,,,,11,3.6,3.5,8.3,,1,7.9,2.9,,1,4.4,,3.5,58.1,13fbc68c-898a-46d3-bfcd-1ffdcf9a2175,5.5353749827359,16.7432479687993
219,30760,Blackall Tambo,30537.248,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30760,542,,,,,,,,,,,,,,,,,,,,,,,119,6.2,10.1,9,3.7,0.8,6.2,6,2,2.2,7.8,1.7,7.1,54.4,e849d294-ad34-47e1-89ec-fcaef3349264,2.72623871840597,10.8887054967227
220,30900,Boulia,60906.4695,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30900,102,,,,,,,,,,,,,,,,,,,,,,,3,0.7,3.7,7.9,2.2,,4.6,2.2,,,4.6,,2.2,58.5,34d34c3f-edb5-40ba-ace5-134b7fa3cd10,5.344860937161,14.3372865610509
221,31000,Brisbane,1342.7173,https://linked.data.gov.au/dataset/asgsed3/LGA2021/31000,499429,173511,14.3,48126,4,85318,7,112872,9.3,35898,3.6,80703,6.6,59942,6,83072,6.8,40808,4.1,20529,1.9,9138,0.9,56680,4.6,6.3,7.8,2.7,0.6,3.6,3.4,0.7,1.3,9.1,0.7,8.3,63.6,7661ace1-df6a-4040-a056-2d819f8d08b7,0.122560829771373,5.16421898664802
222,31750,Bulloo,73722.0101,https://linked.data.gov.au/dataset/asgsed3/LGA2021/31750,81,,,,,,,,,,,,,,,,,,,,,,,3,0.9,6.9,8.4,1.2,,5.4,2.1,,,4.2,,3.3,64,26ac7b7c-dae4-4ccf-8bed-3425849de4a6,6.76494159955496,12.239269695535
223,31820,Bundaberg,6431.0889,https://linked.data.gov.au/dataset/asgsed3/LGA2021/31820,24276,22897,24.3,8534,9,12378,13.1,11720,12.4,5066,6.5,6290,6.7,9722,12.6,12274,13,6276,8.2,3388,4.7,882,1.2,9478,9.6,14.7,9.8,4.3,1,6.7,6.4,1.5,3.9,11.6,1.6,9.8,49.5,58198729-ed7c-4934-9fb6-89ebb967464c,0.574957284573657,6.13416582316352
224,31900,Burdekin,5043.9318,https://linked.data.gov.au/dataset/asgsed3/LGA2021/31900,6246,3351,19.9,1009,6,2293,13.6,2097,12.4,704,5.1,1631,9.7,1378,9.9,1724,10.2,738,5.4,347,2.6,119,0.9,1097,6.6,11.8,6.9,3.5,1.2,6.1,5.6,1.3,2.4,7.8,1.1,7.1,55.1,f69893ed-be11-4bfe-8bb2-9266aae44514,0.434918112250443,4.56183500751442
225,31950,Burke,39681.2234,https://linked.data.gov.au/dataset/asgsed3/LGA2021/31950,47,,,,,,,,,,,,,,,,,,,,,,,13,3.1,4.8,5.3,1.7,,4.8,2.4,1.4,1,3.6,,6.2,56.8,af8a2f5a-364d-4adc-aa52-f261c866d141,3.38610202524683,12.9482083478443
