OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Median equivalised total household income (weekly) ($) (Data year: 2021),Median household income (yearly)
166,23430,Kingston (Vic.),91.3676,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23430,1176,61152
167,23670,Knox,113.9114,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23670,1093,56836
168,23810,Latrobe (Vic.),1425.613,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23810,833,43316
169,23940,Loddon,6696.4447,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23940,694,36088
170,24130,Macedon Ranges,1748.284,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24130,1190,61880
171,24210,Manningham,113.3479,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24210,1121,58292
172,24250,Mansfield,3843.8535,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24250,878,45656
173,24330,Maribyrnong,31.2258,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24330,1297,67444
174,24410,Maroondah,61.4097,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24410,1136,59072
175,24600,Melbourne,37.5452,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24600,1267,65884
176,24650,Melton,527.5374,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24650,1025,53300
177,24780,Mildura,22081.9206,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24780,862,44824
178,24850,Mitchell,2862.0837,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24850,1010,52520
179,24900,Moira,4045.9201,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24900,776,40352
180,24970,Monash,81.4829,https://linked.data.gov.au/dataset/asgsed3/LGA2021/24970,1109,57668
181,25060,Moonee Valley,43.1384,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25060,1299,67548
182,25150,Moorabool,2110.5504,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25150,1057,54964
183,25250,Moreland,50.9522,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25250,1246,64792
184,25340,Mornington Peninsula,723.992,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25340,995,51740
185,25430,Mount Alexander,1529.6183,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25430,837,43524
186,25490,Moyne,5481.686,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25490,952,49504
